post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_aioseo_title,meta:_aioseo_description,meta:_aioseo_keywords,meta:_aioseo_og_title,meta:_aioseo_og_description,meta:_aioseo_twitter_title,meta:_aioseo_og_article_tags,meta:_aioseo_twitter_description,tax:brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,"attribute:Arrangement Size","attribute_data:Arrangement Size","attribute_default:Arrangement Size","attribute:Basket Size","attribute_data:Basket Size","attribute_default:Basket Size","attribute:Basket size","attribute_data:Basket size","attribute_default:Basket size","attribute:Bouquet Size","attribute_data:Bouquet Size","attribute_default:Bouquet Size","attribute:Box Size","attribute_data:Box Size","attribute_default:Box Size","attribute:Gift Size","attribute_data:Gift Size","attribute_default:Gift Size","attribute:Plant Size","attribute_data:Plant Size","attribute_default:Plant Size","attribute:Product Size","attribute_data:Product Size","attribute_default:Product Size",attribute:Size,attribute_data:Size,attribute_default:Size,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_ewd_uwcf_colors,attribute_data:pa_ewd_uwcf_colors,attribute_default:pa_ewd_uwcf_colors,attribute:pa_ewd_uwcf_sizes,attribute_data:pa_ewd_uwcf_sizes,attribute_default:pa_ewd_uwcf_sizes
"Commandaria St. John75cl",commandaria-st-john-75cl,,22487,,"The oldest type of wine still in production today! It gained its fame thanks to the Knights of St. John, who took it with the during Crusades.",publish,,0,"2017-02-27 15:01:36",1,open,22487,,,,no,no,,33,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Comandaria-Spirit-Gift-1.jpg ! alt : Comandaria Spirit Gift 1 ! title : Comandaria Spirit Gift 1 ! desc : Comandaria Spirit Gift 1 ! caption : Comandaria Spirit Gift 1",,https://www.cosmeagardens.com/product/commandaria-st-john-75cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,3||,,,3||,
"Greeting Card",greeting-card,,22489,,"Add a Greeting Card and write your wishes freely.",publish,,0,"2017-02-27 15:14:17",1,open,22489,,,,no,no,,3,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Greeting-Cards.jpg ! alt : Greeting Cards ! title : Greeting Cards ! desc : Greeting Cards ! caption : Greeting Cards",,https://www.cosmeagardens.com/product/greeting-card/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,
"Flower Food",flower-food,,22490,,"Cut Flower Food for all types of flowers. Maximises the vase life.",publish,,0,"2017-02-27 15:17:08",1,open,22490,,,,no,no,,1,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Flower-Food.jpg ! alt : Flower Food ! title : Flower Food ! desc : Flower Food ! caption : Flower Food",,https://www.cosmeagardens.com/product/flower-food/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,
"Clear Glass Vase",clear-glass-vase,,22492,,"Add a Vase to Your Order.",publish,,0,"2017-02-27 15:25:32",1,open,22492,,,,no,no,,10,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Vase-Gift.jpg ! alt : Vase Gift ! title : Vase Gift ! desc : Vase Gift ! caption : Vase Gift",,https://www.cosmeagardens.com/product/clear-glass-vase/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,
"Teddy Bear (Boy) - Small",teddy-boy-small,,22493,,"Add a Soft Toy to your Order. Ideal for a <a href=""https://www.cosmeagardens.com/product-category/new-baby/"">New Boy Birth</a>!",publish,,0,"2017-02-27 15:32:55",1,open,22493,,,,no,no,,10,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Teddy-Bear-Small-Blue.jpg ! alt : Teddy Bear Small Blue ! title : Teddy Bear Small Blue ! desc : Teddy Bear Small Blue ! caption : Teddy Bear Small Blue",,https://www.cosmeagardens.com/product/teddy-boy-small/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,3||,,,3||,
"Teddy Bear (Boy) - Big",teddy-boy-big,,22494,,"Add a Soft Toy to your order. Ideal for a <a href=""https://www.cosmeagardens.com/product-category/new-baby/"">New Boy Birth</a>!",publish,,0,"2017-02-27 15:35:37",1,open,22494,,,,no,no,,20,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Teddy-Bear-Large-Blue.jpg ! alt : Teddy Bear Large Blue ! title : Teddy Bear Large Blue ! desc : Teddy Bear Large Blue ! caption : Teddy Bear Large Blue",,https://www.cosmeagardens.com/product/teddy-boy-big/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,1||,,,2||,
"Teddy Bear (Girl) - Small",teddy-girl-small,,22495,,"Add a Soft Toy to your order. Ideal for a New Girl Birth!",publish,,0,"2017-02-27 15:40:42",1,open,22495,,,,no,no,,10,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Teddy-Bear-Small-Pink.jpg ! alt : Teddy Bear Small Pink ! title : Teddy Bear Small Pink ! desc : Teddy Bear Small Pink ! caption : Teddy Bear Small Pink",,https://www.cosmeagardens.com/product/teddy-girl-small/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,
"Teddy Bear (Girl) - Big",teddy-girl-big,,22496,,"Add a Soft Toy to your order. Ideal for a <a href=""https://www.cosmeagardens.com/product-category/new-baby/"">New Girl Birth</a>!",publish,,0,"2017-02-27 15:43:26",1,open,22496,,,,no,no,,20,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Teddy-Bear-Large-Pink.jpg ! alt : Teddy Bear Large Pink ! title : Teddy Bear Large Pink ! desc : Teddy Bear Large Pink ! caption : Teddy Bear Large Pink",,https://www.cosmeagardens.com/product/teddy-girl-big/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,3||,,,3||,
"Teddy Bear - Small",teddy-bear-small,,22497,,"Add a Soft Toy to your order. Ideal for any occasion!",publish,,0,"2017-02-27 15:45:51",1,open,22497,,,,no,no,,10,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/teddy-bearsmall.jpg ! alt : teddy bearsmall ! title : teddy bearsmall ! desc : teddy bearsmall ! caption : teddy bearsmall",,https://www.cosmeagardens.com/product/teddy-bear-small/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,
"Teddy Bear - Big",teddy-bear-big,,22498,,"Add a Soft Toy to your order. Ideal for any occasion!",publish,,0,"2017-02-27 15:48:33",1,open,22498,,,,no,no,,20,,,,,,,visible,instock,no,,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2017/02/Teddy-Bear-Love.jpg ! alt : Teddy Bear Love ! title : Teddy Bear Love ! desc : Teddy Bear Love ! caption : Teddy Bear Love",,https://www.cosmeagardens.com/product/teddy-bear-big/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,"Classic | Deluxe | Premium",0|1|1,,,,,,,,,,,,,,,,,,,,,,,,,
"D'angelo Lambrusco Rose Wine",wine-rose-dangelo-lambrusco,,29449,,"Add a Rose Wine to your order",publish,,0,"2018-10-17 09:38:18",4654,open,29449,,,,no,no,,15,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/dangelo-rosato.jpg ! alt : dangelo rosato ! title : dangelo rosato ! desc : dangelo rosato ! caption : dangelo rosato",,https://www.cosmeagardens.com/product/wine-rose-dangelo-lambrusco/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Zivania Loel 70cl",zivania-loel-70cl,,29456,,"With an alcohol content of 45% , it is no surprise that the island's national drink of Zivania is also referred to as ''firewater'' !",publish,,0,"2018-10-18 12:09:31",4654,open,29456,,,,no,no,,22,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/zivania.jpg ! alt : zivania ! title : zivania ! desc : zivania ! caption : zivania",,https://www.cosmeagardens.com/product/zivania-loel-70cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Stolichnaya Vodka 1LT",stolichnaya-russian-premium-vodka-1lt,,29458,,"Add a Russian Premium Vodka to your order.",publish,,0,"2018-10-18 14:56:34",4654,open,29458,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/stoli.jpg ! alt : stoli ! title : stoli ! desc : stoli ! caption : stoli",,https://www.cosmeagardens.com/product/stolichnaya-russian-premium-vodka-1lt/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Smirnoff North 70cl",smirnoff-north-70cl,,29460,,"Add a sweet Liqueur to your order which has been flavoured with Norwegian berries that taste similar to blueberries.",publish,,0,"2018-10-18 15:05:48",4654,open,29460,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/north.jpg ! alt : north ! title : north ! desc : north ! caption : north",,https://www.cosmeagardens.com/product/smirnoff-north-70cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0||,,,1||,
"J&amp;B Whisky 1LT",jb-whisky-1lt,,29464,,"Add Europe's most popular Scotch whisky to your order",publish,,0,"2018-10-19 09:01:44",4654,open,29464,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/jb.jpg ! alt : jb ! title : jb ! desc : jb ! caption : jb",,https://www.cosmeagardens.com/product/jb-whisky-1lt/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Gordon's Gin 1LT",gordons-gin-1lt,,29467,,"World's most famous gin to start a Friday evening, or a Tuesday night catch up with friends",publish,,0,"2018-10-19 09:14:03",4654,open,29467,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/gordons.jpg ! alt : gordons ! title : gordons ! desc : gordons ! caption : gordons",,https://www.cosmeagardens.com/product/gordons-gin-1lt/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Bacardi Rum 1LT",bacardi-rum-1lt,,29469,,"Add a White Rum to your order.",publish,,0,"2018-10-19 09:22:25",4654,open,29469,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/bacardi.jpg ! alt : bacardi ! title : bacardi ! desc : bacardi ! caption : bacardi",,https://www.cosmeagardens.com/product/bacardi-rum-1lt/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Moet&amp;Chandon Rose75cl",moetchandon-rose-75cl,,29472,,"Rosé Champagne, perfect for bringing a bit of bling to your party. ",publish,,0,"2018-10-19 09:35:37",4654,open,29472,,,,no,no,,80,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/rose.jpg ! alt : rose ! title : rose ! desc : rose ! caption : rose",,https://www.cosmeagardens.com/product/moetchandon-rose-75cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Jägermeister 1LT",jagermeister-1lt,,29474,,"Cult German herb liqueur, blessed with a highly unusual love-it-or-hate-it flavour.",publish,,0,"2018-10-19 09:40:24",4654,open,29474,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/jager.jpg ! alt : jager ! title : jager ! desc : jager ! caption : jager",,https://www.cosmeagardens.com/product/jagermeister-1lt/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Baileys 1LT",baileys-1lt,,29476,,"Baileys  is an iconic blend of fresh Irish cream, selected<i> </i>spirits and Irish Whiskey",publish,,0,"2018-10-19 09:47:55",4654,open,29476,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/baileys_.jpg ! alt : baileys  ! title : baileys ! desc : baileys  ! caption : baileys ",,https://www.cosmeagardens.com/product/baileys-1lt/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Dom Pérignon Vintage Champagne 75cl",dom-perignon-vintage-champagne-75cl,,29478,,"Where there’s a celebration to be had, there’s really nothing like Dom Pérignon to mark the occasion.<b></b>",private,,0,"2018-10-19 15:20:54",4654,open,29478,,,,no,no,,250,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/perignon.jpg ! alt : perignon ! title : perignon ! desc : perignon ! caption : perignon",,https://www.cosmeagardens.com/product/dom-perignon-vintage-champagne-75cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0||,,,1||,
"Bottega Gold 20cl",bottegagold20cl,,36505,,"Bottega Gold contains Prosecco – Italy's most popular sparkling wine",publish,,0,"2021-02-10 01:48:28",4654,open,36505,,,,no,no,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2018/10/gold.jpg ! alt : gold ! title : gold ! desc : gold ! caption : gold",,https://www.cosmeagardens.com/product/bottegagold20cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0||,,,1||,
"Bottega Rose Gold 20cl",bottegarosegold20cl,,36532,,"Bottega Rose Gold is a Brut rosé sparkling wine obtained<span class=""Apple-converted-space"">  </span>through vinification of Pinot Nero grapes.",publish,,0,"2021-02-10 01:56:23",4654,open,36532,,,,no,no,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2021/02/rose-gold.jpg ! alt : rose gold ! title : rose gold ! desc : rose gold ! caption : rose gold",,https://www.cosmeagardens.com/product/bottegarosegold20cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2||,,,2||,
"Bottega Moscato 20cl",bottegapetalo20cl,,36535,,"Bottega  Petalo Moscato is a white sparkling wine characterized by a clear sweetness, pronounced and elegant bouquet, low alcohol content and a typical scent of roses that evokes the image of petals on the label.",publish,,0,"2021-02-10 02:02:40",4654,open,36535,,,,no,no,,10,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2021/02/petalo.jpg ! alt : petalo ! title : petalo ! desc : petalo ! caption : petalo",,https://www.cosmeagardens.com/product/bottegapetalo20cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0||,,,1||,
"Tosti Prosecco 20cl",tostiprosecco20cl,,36537,,"Add a Prosecco to your order",publish,,0,"2021-02-10 02:24:05",4654,open,36537,,,,no,no,,8,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2021/02/TostiProsecco20cl.jpg ! alt : TostiProsecco20cl ! title : TostiProsecco20cl ! desc : TostiProsecco20cl ! caption : TostiProsecco20cl",,https://www.cosmeagardens.com/product/tostiprosecco20cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0||,,,1||,
"Skinos Mastiha 35cl",skinos35cl,,36540,,"Skinos Mastiha is a Greek liqueur made using the resin from the mastiha tree on the Greek island of Chios. Lightly sweet with an almost minty pine cleansing freshness.",publish,,0,"2021-02-10 03:04:53",4654,open,36540,,,,no,no,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://www.cosmeagardens.com/wp-content/uploads/2021/02/skinos_mastica_70cl.jpg ! alt : skinos mastica 70cl ! title : skinos mastica 70cl ! desc : skinos mastica 70cl ! caption : skinos mastica 70cl",,https://www.cosmeagardens.com/product/skinos35cl/,,,,,,,,,,simple,,"Personalise Your Gift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0||,,,1||,
